,SYMBOL,NAME OF COMPANY
0,20MICRONS,20 Microns Limited
1,21STCENMGM,21st Century Management Services Limited
2,360ONE,360 ONE WAM LIMITED
3,3IINFOLTD,3i Infotech Limited
4,3MINDIA,3M India Limited
5,3PLAND,3P Land Holdings Limited
6,4THDIM,Fourth Dimension Solutions Limited
7,5PAISA,5Paisa Capital Limited
8,63MOONS,63 moons technologies limited
9,A2ZINFRA,A2Z Infra Engineering Limited
10,AAATECH,AAA Technologies Limited
11,AAKASH,Aakash Exploration Services Limited
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
13,AARON,Aaron Industries Limited
14,AARTIDRUGS,Aarti Drugs Limited
15,AARTIIND,Aarti Industries Limited
16,AARTIPHARM,Aarti Pharmalabs Limited
17,AARTISURF,Aarti Surfactants Limited
18,AARVEEDEN,Aarvee Denims & Exports Limited
19,AARVI,Aarvi Encon Limited
20,AAVAS,Aavas Financiers Limited
21,ABAN,Aban Offshore Limited
22,ABB,ABB India Limited
23,ABBOTINDIA,Abbott India Limited
24,ABCAPITAL,Aditya Birla Capital Limited
25,ABFRL,Aditya Birla Fashion and Retail Limited
26,ABMINTLLTD,ABM International Limited
27,ABSLAMC,Aditya Birla Sun Life AMC Limited
28,ACC,ACC Limited
29,ACCELYA,Accelya Solutions India Limited
30,ACCURACY,Accuracy Shipping Limited
31,ACE,Action Construction Equipment Limited
32,ACEINTEG,Ace Integrated Solutions Limited
33,ACI,Archean Chemical Industries Limited
34,ADANIENT,Adani Enterprises Limited
35,ADANIGREEN,Adani Green Energy Limited
36,ADANIPORTS,Adani Ports and Special Economic Zone Limited
37,ADANIPOWER,Adani Power Limited
38,ADANITRANS,Adani Transmission Limited
39,ADFFOODS,ADF Foods Limited
40,ADL,Archidply Decor Limited
41,ADORWELD,Ador Welding Limited
42,ADROITINFO,Adroit Infotech Limited
43,ADSL,Allied Digital Services Limited
44,ADVANIHOTR,Advani Hotels & Resorts (India) Limited
45,ADVENZYMES,Advanced Enzyme Technologies Limited
46,AEGISCHEM,Aegis Logistics Limited
47,AETHER,Aether Industries Limited
48,AFFLE,Affle (India) Limited
49,AGARIND,Agarwal Industrial Corporation Limited
50,AGI,AGI Greenpac Limited
51,AGRITECH,Agri-Tech (India) Limited
52,AGROPHOS,Agro Phos India Limited
53,AGSTRA,AGS Transact Technologies Limited
54,AHL,Abans Holdings Limited
55,AHLADA,Ahlada Engineers Limited
56,AHLEAST,Asian Hotels (East) Limited
57,AHLUCONT,Ahluwalia Contracts (India) Limited
58,AIAENG,AIA Engineering Limited
59,AIRAN,Airan Limited
60,AIROLAM,Airo Lam limited
61,AJANTPHARM,Ajanta Pharma Limited
62,AJMERA,Ajmera Realty & Infra India Limited
63,AJOONI,Ajooni Biotech Limited
64,AJRINFRA,AJR INFRA AND TOLLING LIMITED
65,AKASH,Akash Infra-Projects Limited
66,AKG,Akg Exim Limited
67,AKSHAR,Akshar Spintex Limited
68,AKSHARCHEM,AksharChem India Limited
69,AKSHOPTFBR,Aksh Optifibre Limited
70,AKZOINDIA,Akzo Nobel India Limited
71,ALANKIT,Alankit Limited
72,ALBERTDAVD,Albert David Limited
73,ALEMBICLTD,Alembic Limited
74,ALICON,Alicon Castalloy Limited
75,ALKALI,Alkali Metals Limited
76,ALKEM,Alkem Laboratories Limited
77,ALKYLAMINE,Alkyl Amines Chemicals Limited
78,ALLCARGO,Allcargo Logistics Limited
79,ALLSEC,Allsec Technologies Limited
80,ALMONDZ,Almondz Global Securities Limited
81,ALOKINDS,Alok Industries Limited
82,ALPA,Alpa Laboratories Limited
83,ALPHAGEO,Alphageo (India) Limited
84,ALPSINDUS,Alps Industries Limited
85,AMARAJABAT,Amara Raja Batteries Limited
86,AMBER,Amber Enterprises India Limited
87,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited
88,AMBIKCO,Ambika Cotton Mills Limited
89,AMBUJACEM,Ambuja Cements Limited
90,AMDIND,AMD Industries Limited
91,AMIORG,Ami Organics Limited
92,AMJLAND,Amj Land Holdings Limited
93,AMRUTANJAN,Amrutanjan Health Care Limited
94,ANANDRATHI,Anand Rathi Wealth Limited
95,ANANTRAJ,Anant Raj Limited
96,ANDHRAPAP,ANDHRA PAPER LIMITED
97,ANDHRSUGAR,The Andhra Sugars Limited
98,ANDREWYU,Andrew Yule & Company Limited
99,ANGELONE,Angel One Limited
100,ANIKINDS,Anik Industries Limited
101,ANKITMETAL,Ankit Metal & Power Limited
102,ANMOL,Anmol India Limited
103,ANSALAPI,Ansal Properties & Infrastructure Limited
104,ANTGRAPHIC,Antarctica Limited
105,ANUP,The Anup Engineering Limited
106,ANURAS,Anupam Rasayan India Limited
107,APARINDS,Apar Industries Limited
108,APCL,Anjani Portland Cement Limited
109,APCOTEXIND,Apcotex Industries Limited
110,APEX,Apex Frozen Foods Limited
111,APLAPOLLO,APL Apollo Tubes Limited
112,APLLTD,Alembic Pharmaceuticals Limited
113,APOLLO,Apollo Micro Systems Limited
114,APOLLOHOSP,Apollo Hospitals Enterprise Limited
115,APOLLOPIPE,Apollo Pipes Limited
116,APOLLOTYRE,Apollo Tyres Limited
117,APOLSINHOT,Apollo Sindoori Hotels Limited
118,APTECHT,Aptech Limited
119,APTUS,Aptus Value Housing Finance India Limited
120,ARCHIDPLY,Archidply Industries Limited
121,ARCHIES,Archies Limited
122,ARENTERP,Rajdarshan Industries Limited
123,ARIES,Aries Agro Limited
124,ARIHANTCAP,Arihant Capital Markets Limited
125,ARIHANTSUP,Arihant Superstructures Limited
126,ARMANFIN,Arman Financial Services Limited
127,AROGRANITE,Aro Granite Industries Limited
128,ARROWGREEN,Arrow Greentech Limited
129,ARSHIYA,Arshiya Limited
130,ARSSINFRA,ARSS Infrastructure Projects Limited
131,ARTEMISMED,Artemis Medicare Services Limited
132,ARTNIRMAN,Art Nirman Limited
133,ARVEE,Arvee Laboratories (India) Limited
134,ARVIND,Arvind Limited
135,ARVINDFASN,Arvind Fashions Limited
136,ARVSMART,Arvind SmartSpaces Limited
137,ASAHIINDIA,Asahi India Glass Limited
138,ASAHISONG,Asahi Songwon Colors Limited
139,ASAL,Automotive Stampings and Assemblies Limited
140,ASALCBR,Associated Alcohols & Breweries Ltd.
141,ASHAPURMIN,Ashapura Minechem Limited
142,ASHIANA,Ashiana Housing Limited
143,ASHIMASYN,Ashima Limited
144,ASHOKA,Ashoka Buildcon Limited
145,ASHOKLEY,Ashok Leyland Limited
146,ASIANENE,Asian Energy Services Limited
147,ASIANHOTNR,Asian Hotels (North) Limited
148,ASIANPAINT,Asian Paints Limited
149,ASIANTILES,Asian Granito India Limited
150,ASMS,Bartronics India Limited
151,ASPINWALL,Aspinwall and Company Limited
152,ASTEC,Astec LifeSciences Limited
153,ASTERDM,Aster DM Healthcare Limited
154,ASTRAL,Astral Limited
155,ASTRAMICRO,Astra Microwave Products Limited
156,ASTRAZEN,AstraZeneca Pharma India Limited
157,ASTRON,Astron Paper & Board Mill Limited
158,ATFL,Agro Tech Foods Limited
159,ATGL,Adani Total Gas Limited
160,ATLANTA,Atlanta  Limited
161,ATUL,Atul Limited
162,ATULAUTO,Atul Auto Limited
163,AUBANK,AU Small Finance Bank Limited
164,AURIONPRO,Aurionpro Solutions Limited
165,AUROPHARMA,Aurobindo Pharma Limited
166,AURUM,Aurum PropTech Limited
167,AUSOMENT,Ausom Enterprise Limited
168,AUTOAXLES,Automotive Axles Limited
169,AUTOIND,Autoline Industries Limited
170,AVADHSUGAR,Avadh Sugar & Energy Limited
171,AVANTIFEED,Avanti Feeds Limited
172,AVONMORE,Avonmore Capital & Management Services Limited
173,AVROIND,AVRO INDIA LIMITED
174,AVTNPL,AVT Natural Products Limited
175,AWHCL,Antony Waste Handling Cell Limited
176,AWL,Adani Wilmar Limited
177,AXISBANK,Axis Bank Limited
178,AXISCADES,AXISCADES Technologies Limited
179,AXITA,Axita Cotton Limited
180,AYMSYNTEX,AYM Syntex Limited
181,BAFNAPH,Bafna Pharmaceuticals Limited
