,Company Name,Symbol
0,ABB India Ltd.,ABB
1,ACC Ltd.,ACC
2,AU Small Finance Bank Ltd.,AUBANK
3,Abbott India Ltd.,ABBOTINDIA
4,Adani Enterprises Ltd.,ADANIENT
5,Adani Green Energy Ltd.,ADANIGREEN
6,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
7,Adani Power Ltd.,ADANIPOWER
8,Adani Total Gas Ltd.,ATGL
9,Adani Transmission Ltd.,ADANITRANS
10,Adani Wilmar Ltd.,AWL
11,Aditya Birla Capital Ltd.,ABCAPITAL
12,Aditya Birla Fashion and Retail Ltd.,ABFRL
13,Alkem Laboratories Ltd.,ALKEM
14,Ambuja Cements Ltd.,AMBUJACEM
15,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
16,Apollo Tyres Ltd.,APOLLOTYRE
17,Ashok Leyland Ltd.,ASHOKLEY
18,Asian Paints Ltd.,ASIANPAINT
19,Astral Ltd.,ASTRAL
20,Aurobindo Pharma Ltd.,AUROPHARMA
21,Avenue Supermarts Ltd.,DMART
22,Axis Bank Ltd.,AXISBANK
23,Bajaj Auto Ltd.,BAJAJ-AUTO
24,Bajaj Finance Ltd.,BAJFINANCE
25,Bajaj Finserv Ltd.,BAJAJFINSV
26,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
27,Balkrishna Industries Ltd.,BALKRISIND
28,Bandhan Bank Ltd.,BANDHANBNK
29,Bank of Baroda,BANKBARODA
30,Bank of India,BANKINDIA
31,Bata India Ltd.,BATAINDIA
32,Berger Paints India Ltd.,BERGEPAINT
33,Bharat Electronics Ltd.,BEL
34,Bharat Forge Ltd.,BHARATFORG
35,Bharat Heavy Electricals Ltd.,BHEL
36,Bharat Petroleum Corporation Ltd.,BPCL
37,Bharti Airtel Ltd.,BHARTIARTL
38,Biocon Ltd.,BIOCON
39,Bosch Ltd.,BOSCHLTD
40,Britannia Industries Ltd.,BRITANNIA
41,CG Power and Industrial Solutions Ltd.,CGPOWER
42,Canara Bank,CANBK
43,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
44,Cipla Ltd.,CIPLA
45,Coal India Ltd.,COALINDIA
46,Coforge Ltd.,COFORGE
47,Colgate Palmolive (India) Ltd.,COLPAL
48,Container Corporation of India Ltd.,CONCOR
49,Coromandel International Ltd.,COROMANDEL
50,Crompton Greaves Consumer Electricals Ltd.,CROMPTON
51,Cummins India Ltd.,CUMMINSIND
52,DLF Ltd.,DLF
53,Dabur India Ltd.,DABUR
54,Dalmia Bharat Ltd.,DALBHARAT
55,Deepak Nitrite Ltd.,DEEPAKNTR
56,Delhivery Ltd.,DELHIVERY
57,Devyani International Ltd.,DEVYANI
58,Divi's Laboratories Ltd.,DIVISLAB
59,Dixon Technologies (India) Ltd.,DIXON
60,Dr. Lal Path Labs Ltd.,LALPATHLAB
61,Dr. Reddy's Laboratories Ltd.,DRREDDY
62,Eicher Motors Ltd.,EICHERMOT
63,Escorts Kubota Ltd.,ESCORTS
64,FSN E-Commerce Ventures Ltd.,NYKAA
65,Federal Bank Ltd.,FEDERALBNK
66,Fortis Healthcare Ltd.,FORTIS
67,GAIL (India) Ltd.,GAIL
68,Gland Pharma Ltd.,GLAND
69,Godrej Consumer Products Ltd.,GODREJCP
70,Godrej Properties Ltd.,GODREJPROP
71,Grasim Industries Ltd.,GRASIM
72,Gujarat Fluorochemicals Ltd.,FLUOROCHEM
73,Gujarat Gas Ltd.,GUJGASLTD
74,HCL Technologies Ltd.,HCLTECH
75,HDFC Asset Management Company Ltd.,HDFCAMC
76,HDFC Bank Ltd.,HDFCBANK
77,HDFC Life Insurance Company Ltd.,HDFCLIFE
78,Havells India Ltd.,HAVELLS
79,Hero MotoCorp Ltd.,HEROMOTOCO
80,Hindalco Industries Ltd.,HINDALCO
81,Hindustan Aeronautics Ltd.,HAL
82,Hindustan Petroleum Corporation Ltd.,HINDPETRO
83,Hindustan Unilever Ltd.,HINDUNILVR
84,Hindustan Zinc Ltd.,HINDZINC
85,Honeywell Automation India Ltd.,HONAUT
86,Housing Development Finance Corporation Ltd.,HDFC
87,ICICI Bank Ltd.,ICICIBANK
